income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Lower middle income,u37,5.5,4.0,3.59,3.65,0.0,0.0,3.41,3.56,0.0,0.0
Upper middle income,U30,5,2.52,3.09,3.27,0.0,0.0,3.41,3.23,0.0,0.0
High income,u37,5,2.67,3.6,3.19,3.5,0.0,3.41,3.49,3.72,0.0
Lower middle income,U30,5.5,2.75,3.25,3.61,0.0,0.0,3.41,3.36,0.0,0.0
Upper middle income,U25,5.6,2.52,3.25,3.83,3.25,0.0,3.41,3.37,3.54,0.0
Lower middle income,U30,6,3.06,3.17,3.21,0.0,0.0,3.41,3.26,0.0,0.0
Lower middle income,U30,5.6,3.71,3.5,3.61,3.75,0.0,3.41,3.49,3.53,0.0
Lower middle income,U30,5.9,3.2,3.38,3.38,4.0,0.0,3.41,3.37,3.54,0.0
Lower middle income,U25,5.3,3.44,3.75,3.63,0.0,0.0,3.41,3.66,0.0,0.0
Upper middle income,U30,5.4,4.0,3.5,3.88,0.0,0.0,3.41,3.53,0.0,0.0
Low income,U30,7.5,3.5,3.5,3.5,0.0,0.0,3.41,3.59,0.0,0.0
Lower middle income,U30,5.8,3.4,3.5,3.5,0.0,0.0,3.41,3.46,0.0,0.0
Lower middle income,U30,4.9,3.5,3.07,3.39,0.0,0.0,3.41,3.22,0.0,0.0
Lower middle income,u37,5.4,2.0,3.0,2.93,3.5,0.0,3.41,3.26,3.45,0.0
Upper middle income,U44,4.9,3.7,3.43,3.29,3.33,0.0,3.41,3.43,3.62,0.0
Lower middle income,U30,5.5,4.0,3.64,3.8,0.0,0.0,3.41,3.53,0.0,0.0
Lower middle income,u37,4.8,3.0,3.2,3.13,0.0,0.0,3.41,3.28,0.0,0.0
Lower middle income,U30,5.3,3.21,3.1,3.38,0.0,0.0,3.41,3.24,0.0,0.0
Upper middle income,U30,5.4,3.06,3.0,3.14,3.5,0.0,3.41,3.22,3.44,0.0
